url,destLabel,destinationLabelId,MHID
/sheraton-arabella-park-hotel-munich-germany,Germany,14913,43622
/dexamenes-aparthttp://www.teletextholidays.co.uk/guides/greece/mykonos/mykonos-town/hotels/dexamenes-apartments,Greece,14546,43625
/four-points-olympiapark-hotel-munich-germany,Germany,14913,43626
/ibiscus-village-hotel-mykonos-town-mykonos-greece,Greece,14546,43628
/alexandra-hotel-mykonos-tourlos-mykonos-greece,Greece,14546,43629
/konigshof-hotel-munich-germany,Germany,14913,43633
/azimut-munchen-city-ost-hotel-munich-germany,Germany,14913,43637
/kouros-hotel-mykonos-town-mykonos-greece,Greece,14546,43639
/aks-chroma-paros-hotel-naoussa-mykonos-greece,Greece,14546,43640
/ostraco-suites-hotel-mykonos-town-mykonos-greece,Greece,14546,43641
/bill-coo-suites-and-lounge-hotel-megali-ammos-mykonos-greece,Greece,14546,43644
/delight-boutique-hotel-agios-ioannis-mykonos-greece,Greece,14546,43653
/peters-studios-hotel-ornos-mykonos-greece,Greece,14546,43661
/villa-del-sol-hotel-ornos-mykonos-greece,Greece,14546,43667
/mina-beach-hotel-aghios-stefanos-mykonos-greece,Greece,14546,43672
/myconian-villas-collection-hotel-elia-mykonos-greece,Greece,14546,43676
/hotel-divan-istanbul-city-istanbul-turkey,Turkey,14553,43679
/pension-koubarou-hotel-platis-gialos-mykonos-greece,Greece,14546,43680
/hotel-historia-istanbul-turkey,Turkey,14553,43682
/hotel-yigitalp-istanbul-turkey,Turkey,14553,43684
/anna-maria-studios-hotel-mykonos-town-mykonos-greece,Greece,14546,43685
/hotel-prince-istanbul-turkey,Turkey,14553,43690
/ampelia-beach-hotel-gennadi-rhodes-greece,Greece,14546,43691
/hotel-kent-istanbul-turkey,Turkey,14553,43692
/pedi-beach-hotel-symi-rhodes-greece,Greece,14546,43693
/hotel-almina-istanbul-turkey,Turkey,14553,43694
/vickys-studios-hotel-faliraki-rhodes-greece,Greece,14546,43695
/hotel-antis-istanbul-turkey,Turkey,14553,43696
/evita-studios-hotel-faliraki-rhodes-greece,Greece,14546,43697
/hotel-golden-crown-istanbul-turkey,Turkey,14553,43699
/hotel-best-western-antea-palace-hotel-spa-istanbul-turkey,Turkey,14553,43700
/hotel-hilton-garden-inn-istanbul-golden-horn-istanbul-turkey,Turkey,14553,43701
/hotel-nostos-halkidiki-greece,Greece,14546,43702
/hotel-sorriso-istanbul-turkey,Turkey,14553,43703
/hotel-point-taksim-istanbul-turkey,Turkey,14553,43704
/mosaic-hotel-istanbul-turkey,Turkey,14553,43705
/hotel-gedik-pasa-konagi-istanbul-turkey,Turkey,14553,43706
/hotel-dedeman-istanbul-istanbul-turkey,Turkey,14553,43710
/hotel-ottoman-imperial-istanbul-turkey,Turkey,14553,43711
/best-nobel-hotel-istanbul-turkey,Turkey,14553,43718
/bulvar-palas-hotel-istanbul-turkey,Turkey,14553,43720
/old-city-hotel-istanbul-hagia-sophia-ex-crowne-plaza-hagia-sophia-istanbul-turkey,Turkey,14553,43726
/hotel-porto-mykonos-mykonos-town-mykonos-greece,Greece,14546,43730
/the-ritz-carlton-istanbul-hotel-istanbul-turkey,Turkey,14553,43734
/pension-and-studios-flora-hotel-mykonos-town-mykonos-greece,Greece,14546,43736
/hotel-lausos-istanbul-turkey,Turkey,14553,43737
/agrillionas-hotel-votsalakia-samos-greece,Greece,14546,43738
/hotel-emporium-istanbul-turkey,Turkey,14553,43739
/oran-hotel-istanbul-turkey,Turkey,14553,43740
/fito-hotel-pythagorion-samos-greece,Greece,14546,43742
/villa-glyfada-hotel-pythagorion-samos-greece,Greece,14546,43743
/hotel-qinn-old-city-istanbul-turkey,Turkey,14553,43749
/naftilos-hotel-pythagorion-samos-greece,Greece,14546,43753
/aspres-hotel-votsalakia-samos-greece,Greece,14546,43755
/erato-apartments-hotel-thira-santorini-greece,Greece,14546,43756
/helena-ios-hotel-chora-santorini-greece,Greece,14546,43757
/lofos-village-hotel-chora-santorini-greece,Greece,14546,43759
/hotel-crystal-istanbul-turkey,Turkey,14553,43772
/hotel-ottoman-park-istanbul-turkey,Turkey,14553,43773
/ios-palace-hotel-spa-santorini-greece,Greece,14546,43774
/suites-voreina-gallery-hotel-santorini-greece,Greece,14546,43777
/yialos-beach-hotel-yalos-santorini-greece,Greece,14546,43779
/hotel-ramada-istanbul-grand-bazaar-istanbul-turkey,Turkey,14553,43790
/hotel-saint-sophia-istanbul-turkey,Turkey,14553,43791
/hotel-grand-hyatt-istanbul-istanbul-turkey,Turkey,14553,43792
/hotel-green-anka-istanbul-turkey,Turkey,14553,43793
/hotel-levni-spa-istanbul-turkey,Turkey,14553,43797
/hotel-w-istanbul-istanbul-turkey,Turkey,14553,43799
/homers-inn-hotel-chora-santorini-greece,Greece,14546,43800
