Mhid,TA,StarRating
3390,595511,4
3392,670927,5
3395,599151,5
3397,573203,5
3399,315309,5
3405,600131,3
3406,478555,5
3413,610814,5
3415,1134559,3
3418,570843,3
3422,530500,5
3424,599410,5
3429,3962469,5
3430,508026,4
3431,0,4
3432,295921,4
3433,951547,5
3434,1563900,5
3436,2204834,3
3437,508003,4
3439,647591,4
3442,667993,4
3443,628994,5
3444,1099004,4
3445,670310,5
3447,599105,5
3448,1197461,5
3450,298880,4
3452,587357,3
3453,599531,4
3455,669525,5
3457,677225,4
3458,0,4
3464,1173551,3
3465,604901,4
3471,1820988,3
3489,604134,4
3496,1395785,4
3498,1061852,3
3500,779994,2
3501,600105,5
3502,499754,5
3503,601213,4
3512,535742,4
3514,1904524,4
3520,316612,3
3521,0,5
3524,1230943,4
3525,0,3
3526,653315,3
3528,278890,3
3531,1854013,3
3532,578534,5
3533,1722783,5
3534,1231401,3
3538,1575719,4
3541,1748073,2
3543,1494474,5
3544,1553333,5
3548,272601,3
3555,483131,3
3558,1369962,3
3562,232368,3
3569,1510429,5
3571,502014,5
3577,197199,4
3580,1154551,3
3581,593794,3
3586,1178195,3
3590,671315,4
3591,657609,4
3593,1882551,5
3594,1738294,3
3597,631566,4
3601,4129286,3
3602,505761,3
3604,661028,4
3607,6648553,2
3609,1197488,2
3610,615068,5
3612,0,4
3613,507778,4
3614,640011,5
3615,1213418,3
3616,1159406,5
3617,619438,4
3619,291324,3
3620,508062,4
3622,288065,2
3626,573902,3
3627,1228178,4
3628,0,3
3629,507748,2
3632,291274,2
3633,230944,5
3636,776513,3
3639,677815,4
3640,285977,4
3641,252407,5
3643,507974,5
3645,6551009,4
3646,316721,4
3648,634096,3
3657,272900,3
3658,577751,4
3659,518379,4
3660,573532,3
3662,661908,3
3663,231526,3
3672,499884,3
3673,7728523,3
3674,253524,3
3676,302134,4
3679,581109,3
3680,1144459,3
3684,505730,3
3685,647590,5
3690,494750,3
3692,607720,4
3695,301819,5
3697,633017,4
3700,299719,5
3710,599290,4
3712,627223,3
3713,0,3
3715,572795,3
3716,1856908,2
3719,2042409,3
3720,580709,5
3725,296815,4
3729,292635,4
3736,674200,3
3737,228912,5
3738,249282,4
3740,250669,2
3741,250667,3
3742,6678203,4
3743,265006,4
3748,497791,3
3749,555993,2
3752,502827,5
3757,262432,4
3758,315011,3
3760,1786723,4
3761,231217,5
3762,1007935,3
3763,291155,3
3766,653371,2
3767,550766,5
3768,579016,4
3775,264336,2
3777,583816,5
3779,218482,5
3785,280865,4
3786,575544,2
3787,248461,3
3788,237156,4
3790,281753,3
3793,0,5
3794,150869,5
3799,228617,4
3801,535507,4
3804,586599,4
3805,236987,1
3806,301551,4
3809,500022,3
3811,296796,4
3813,232792,4
3815,301242,5
3816,308091,5
3820,456377,3
3824,573817,2
3825,2142615,5
3828,506926,3
3837,651042,4
3846,1051459,2
3848,628859,3
3849,272811,4
3850,1151912,3
3851,530910,2
3853,1431674,4
3854,237077,3
3861,1151778,2
3862,566779,4
3864,622713,3
3867,1179940,3
3868,1065160,2
3873,878290,5
3874,1197403,4
3875,1189745,3
3876,264499,2
3878,535554,3
3879,298897,3
3880,298896,4
3881,548377,5
3882,1145339,5
3883,298898,3
3886,292177,4
3887,316402,3
3888,1127817,3
3889,0,3
3890,1532559,3
3892,616817,5
3894,0,3
3895,647745,4
3900,665135,5
3903,314872,3
3904,621694,3
3905,672642,3
3906,578469,3
3910,276107,3
3912,287405,2
3916,502374,4
3917,315234,3
3919,2715898,3
3922,656476,3
3924,575894,5
3926,572784,5
3928,455667,3
3929,305607,4
3931,623473,5
3933,299685,5
3935,455658,4
3936,1228304,3
3938,571927,4
3939,266980,3
3940,231682,4
3944,576589,3
3945,295473,3
3946,281949,3
3947,296888,3
3948,272429,4
3949,272733,4
3951,7908947,4
3953,579332,3
3954,281950,3
3956,282330,3
3957,272740,3
3958,1220311,3
3960,291310,4
3963,248987,4
3964,289777,4
3965,482687,4
3966,272954,4
3968,569361,4
3969,500893,4
3970,231680,4
3971,228520,4
3972,530789,4
3973,617554,4
3975,262436,4
3976,550075,4
3977,290349,4
3978,272833,4
3979,231673,4
3982,272842,5
3985,289243,4
3986,289893,3
3987,262424,4
3988,291106,2
3990,291313,3
3991,285669,4
3992,291322,2
3993,7359227,4
3995,289257,3
3997,287948,3
3998,530979,3
3999,289255,3
4000,573785,3
4003,569408,4
4004,286724,4
4005,287466,3
4006,234400,4
4007,500222,4
4008,249375,5
4027,291277,4
4028,498792,3
4032,670078,3
4037,1154550,2
4038,80483,4
4041,295786,1
4042,119612,2
4048,1128320,4
4050,1141368,5
4053,236190,2
4054,1197503,4
4058,231514,4
4060,198991,4
4061,566058,4
4065,253421,3
4066,239542,4
4068,295471,4
4069,1078106,3
4075,573821,4
4082,0,2
4083,237999,4
4085,564398,1
